Number of parameters: 24,627,840
iter 323: loss 4.6038, time 4121.01ms, mfu 0.05%
iter 324: loss 3.9859, time 4134.16ms, mfu 0.05%
iter 325: loss 4.9721, time 2567.68ms, mfu 0.05%
iter 326: loss 4.1231, time 3781.60ms, mfu 0.05%
iter 327: loss 4.2571, time 4134.93ms, mfu 0.05%
iter 328: loss 4.0938, time 4139.72ms, mfu 0.05%
iter 329: loss 3.9465, time 4782.75ms, mfu 0.05%
iter 330: loss 4.3558, time 4782.17ms, mfu 0.05%
iter 331: loss 3.7923, time 4787.02ms, mfu 0.05%
iter 332: loss 4.1616, time 4783.86ms, mfu 0.05%
iter 333: loss 4.2486, time 4784.11ms, mfu 0.05%
iter 334: loss 4.2504, time 4785.43ms, mfu 0.05%
iter 335: loss 3.8447, time 4782.64ms, mfu 0.05%
iter 336: loss 3.9736, time 3482.55ms, mfu 0.05%
iter 337: loss 3.9644, time 4135.16ms, mfu 0.05%
iter 338: loss 4.0761, time 4024.78ms, mfu 0.05%
iter 339: loss 4.3319, time 4782.11ms, mfu 0.05%
iter 340: loss 3.9422, time 3504.89ms, mfu 0.05%
iter 341: loss 4.3607, time 4129.33ms, mfu 0.05%
iter 342: loss 4.2633, time 4783.24ms, mfu 0.05%
iter 343: loss 4.1588, time 3507.31ms, mfu 0.05%
iter 344: loss 4.2913, time 2581.67ms, mfu 0.05%
iter 345: loss 3.7674, time 4184.56ms, mfu 0.05%
iter 346: loss 4.1550, time 4783.68ms, mfu 0.05%
iter 347: loss 3.6608, time 4783.63ms, mfu 0.05%
iter 348: loss 4.0576, time 4781.62ms, mfu 0.05%
iter 349: loss 4.2748, time 3374.64ms, mfu 0.05%
iter 350: loss 4.1646, time 3515.29ms, mfu 0.05%
iter 351: loss 4.1546, time 4126.12ms, mfu 0.05%
iter 352: loss 3.9918, time 4136.53ms, mfu 0.05%
iter 353: loss 4.0922, time 4555.59ms, mfu 0.05%
iter 354: loss 4.3113, time 4783.01ms, mfu 0.05%
iter 355: loss 4.0933, time 4784.21ms, mfu 0.05%
iter 356: loss 3.9197, time 4133.97ms, mfu 0.05%
iter 357: loss 4.5616, time 4782.06ms, mfu 0.05%
iter 358: loss 3.8059, time 4784.42ms, mfu 0.05%
iter 359: loss 3.7486, time 4783.53ms, mfu 0.05%
iter 360: loss 3.8876, time 4782.97ms, mfu 0.05%
iter 361: loss 4.2940, time 4782.50ms, mfu 0.05%
iter 362: loss 4.1316, time 4786.10ms, mfu 0.04%
iter 363: loss 3.8009, time 4783.70ms, mfu 0.04%
iter 364: loss 4.4449, time 4781.87ms, mfu 0.04%
iter 365: loss 4.1706, time 3499.37ms, mfu 0.05%
